date,idx_lp_valve_tier1_t0,idx_lp_valve_tier1_t7,idx_lp_valve_tier1_pm7,idx_lp_valve_tier1_pm30,idx_lp_s_tier_t0,idx_lp_s_tier_t7,idx_lp_s_tier_pm7,idx_lp_s_tier_pm30,idx_lp_a_tier_t0,idx_lp_a_tier_t7,idx_lp_a_tier_pm7,idx_lp_a_tier_pm30
2022-06-01,0,0,0,1,0,0,0,1,0,0,0,1
2022-06-02,0,0,0,1,0,0,0,1,0,0,0,1
2022-06-03,0,0,0,1,0,0,0,1,0,0,0,1
2022-06-04,0,0,0,1,0,0,0,1,0,0,0,1
2022-06-05,0,0,0,1,0,0,0,1,0,0,0,1
2022-06-06,0,0,0,1,0,0,0,1,0,0,0,1
2022-06-07,0,0,0,1,0,0,0,1,0,0,0,1
2022-06-08,0,0,1,1,0,0,1,1,0,0,1,1
2022-06-09,0,0,1,1,0,0,1,1,0,0,1,1
2022-06-10,0,0,1,1,0,0,1,1,0,0,1,1
2022-06-11,0,0,1,1,0,0,1,1,0,0,1,1
2022-06-12,0,0,1,1,0,0,1,1,0,0,1,1
2022-06-13,0,0,1,1,0,0,1,1,0,0,1,1
2022-06-14,0,0,1,1,0,0,1,1,0,0,1,1
2022-06-15,1,1,1,1,1,1,1,1,1,1,1,1
2022-06-16,1,1,1,1,1,1,1,1,1,1,1,1
2022-06-17,1,1,1,1,1,1,1,1,1,1,1,1
2022-06-18,1,1,1,1,1,1,1,1,1,1,1,1
2022-06-19,1,1,1,1,1,1,1,1,1,1,1,1
2022-06-20,0,1,1,1,0,1,1,1,0,1,1,1
2022-06-21,0,1,1,1,0,1,1,1,0,1,1,1
2022-06-22,1,1,1,1,1,1,1,1,1,1,1,1
2022-06-23,1,1,1,1,1,1,1,1,1,1,1,1
2022-06-24,1,1,1,1,1,1,1,1,1,1,1,1
2022-06-25,1,1,1,1,1,1,1,1,1,1,1,1
2022-06-26,1,1,1,1,1,1,1,1,1,1,1,1
2022-06-27,1,1,1,1,1,1,1,1,1,1,1,1
2022-06-28,1,1,1,1,1,1,1,1,1,1,1,1
2022-06-29,1,1,1,1,1,1,1,1,1,1,1,1
2022-06-30,1,1,1,1,1,1,1,1,1,1,1,1
