date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2013-08-15,AWP | Snake Camo (Battle-Scarred),10.918,10.918,3.0,,,,,,,,,,,,,,,3,8,0.0,6.251428571428571,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-08-16,AWP | Snake Camo (Battle-Scarred),10.36,10.36,5.0,10.918,,,-0.05110826158637116,,,,,,,,,,,4,8,0.0,6.268142857142857,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-08-17,AWP | Snake Camo (Battle-Scarred),9.228,9.228,5.0,10.36,,,-0.10926640926640929,,10.168666666666667,0.7030795750758861,,,,13.0,4.333333333333333,,,5,8,0.0,6.40957142857143,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-08-18,AWP | Snake Camo (Battle-Scarred),9.367,9.367,6.0,9.228,,,0.015062852188990172,,9.968250000000001,0.70088600178631,,,,19.0,4.75,,,6,8,0.0,6.364857142857142,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-08-19,AWP | Snake Camo (Battle-Scarred),7.894,7.894,7.0,9.367,,,-0.15725419024234022,,9.5534,1.0399014568698322,,,,26.0,5.2,,,0,8,0.0,6.507714285714286,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-08-20,AWP | Snake Camo (Battle-Scarred),9.046,9.046,5.0,7.894,,,0.1459336204712438,,9.468833333333334,0.967946351245196,,,,31.0,5.166666666666667,,,1,8,0.0,6.456142857142857,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-08-21,AWP | Snake Camo (Battle-Scarred),8.757,8.757,3.0,9.046,,,-0.03194782224187487,,9.367142857142857,0.930118337873724,,,,34.0,4.857142857142857,,,2,8,0.0,6.549857142857143,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-08-22,AWP | Snake Camo (Battle-Scarred),8.721,8.721,11.0,8.757,10.918,,-0.004110996916752319,-0.20122733101300594,9.053285714285716,0.6947393579682988,,,,42.0,6.0,,,3,8,0.0,6.631428571428572,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-08-23,AWP | Snake Camo (Battle-Scarred),6.428,6.428,13.0,8.721,10.36,,-0.26292856323816083,-0.37953667953667947,8.491571428571428,0.9527855188330474,,,,50.0,7.142857142857143,,,4,8,0.0,6.588142857142857,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-08-24,AWP | Snake Camo (Battle-Scarred),6.321,6.321,16.0,6.428,9.228,,-0.016645924082140717,-0.31501950585175553,8.076285714285714,1.1536537874182573,8.704,1.4139768032043523,,61.0,8.714285714285714,74.0,7.4,5,8,0.0,6.804,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
