date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2014-05-01,AUG | Colony (Battle-Scarred),0.03,0.03,184.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1472.0,210.28571428571428,5993.0,199.76666666666668,3,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-02,AUG | Colony (Battle-Scarred),0.03,0.03,137.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1425.0,203.57142857142858,5995.0,199.83333333333334,4,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-03,AUG | Colony (Battle-Scarred),0.03,0.03,189.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1345.0,192.14285714285714,6022.0,200.73333333333332,5,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-04,AUG | Colony (Battle-Scarred),0.03,0.03,169.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1307.0,186.71428571428572,5885.0,196.16666666666666,6,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-05,AUG | Colony (Battle-Scarred),0.03,0.03,193.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1251.0,178.71428571428572,5895.0,196.5,0,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-06,AUG | Colony (Battle-Scarred),0.03,0.03,157.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1190.0,170.0,5859.0,195.3,1,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-07,AUG | Colony (Battle-Scarred),0.03,0.03,127.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1156.0,165.14285714285714,5851.0,195.03333333333333,2,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-08,AUG | Colony (Battle-Scarred),0.03,0.03,222.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1194.0,170.57142857142858,5859.0,195.3,3,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-09,AUG | Colony (Battle-Scarred),0.03,0.03,173.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1230.0,175.71428571428572,5866.0,195.53333333333333,4,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-10,AUG | Colony (Battle-Scarred),0.03,0.03,183.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1224.0,174.85714285714286,5834.0,194.46666666666667,5,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-11,AUG | Colony (Battle-Scarred),0.03,0.03,131.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1186.0,169.42857142857142,5766.0,192.2,6,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-12,AUG | Colony (Battle-Scarred),0.03,0.03,144.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1137.0,162.42857142857142,5741.0,191.36666666666667,0,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-13,AUG | Colony (Battle-Scarred),0.03,0.03,132.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1112.0,158.85714285714286,5654.0,188.46666666666667,1,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-14,AUG | Colony (Battle-Scarred),0.03,0.03,176.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1161.0,165.85714285714286,5624.0,187.46666666666667,2,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-15,AUG | Colony (Battle-Scarred),0.03,0.03,221.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1160.0,165.71428571428572,5638.0,187.93333333333334,3,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-16,AUG | Colony (Battle-Scarred),0.03,0.03,270.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1257.0,179.57142857142858,5733.0,191.1,4,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-17,AUG | Colony (Battle-Scarred),0.03,0.03,202.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1276.0,182.28571428571428,5730.0,191.0,5,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-18,AUG | Colony (Battle-Scarred),0.03,0.03,177.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1322.0,188.85714285714286,5693.0,189.76666666666668,6,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-19,AUG | Colony (Battle-Scarred),0.03,0.03,155.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1333.0,190.42857142857142,5655.0,188.5,0,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-20,AUG | Colony (Battle-Scarred),0.03,0.03,132.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1333.0,190.42857142857142,5614.0,187.13333333333333,1,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-21,AUG | Colony (Battle-Scarred),0.03,0.03,175.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03000000000000002,2.0816681711721685e-17,0.0,1332.0,190.28571428571428,5579.0,185.96666666666667,2,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-22,AUG | Colony (Battle-Scarred),0.031,0.031,195.0,0.03,0.03,0.03,0.03333333333333344,0.03333333333333344,0.03014285714285714,0.0003499271061118829,0.030033333333333353,0.00017950549357115028,0.00598351645237169,1306.0,186.57142857142858,5556.0,185.2,3,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-23,AUG | Colony (Battle-Scarred),0.03,0.03,114.0,0.031,0.03,0.03,-0.032258064516129115,0.0,0.03014285714285714,0.0003499271061118829,0.030033333333333353,0.0001795054935711503,0.008468874969236647,1150.0,164.28571428571428,5414.0,180.46666666666667,4,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-24,AUG | Colony (Battle-Scarred),0.03,0.03,92.0,0.03,0.03,0.03,0.0,0.0,0.03014285714285714,0.00034992710611188283,0.030033333333333353,0.0001795054935711503,0.008468874969236649,1040.0,148.57142857142858,5338.0,177.93333333333334,5,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-25,AUG | Colony (Battle-Scarred),0.03,0.03,91.0,0.03,0.03,0.03,0.0,0.0,0.03014285714285714,0.00034992710611188283,0.030033333333333353,0.0001795054935711503,0.008468874969236649,954.0,136.28571428571428,5245.0,174.83333333333334,6,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-26,AUG | Colony (Battle-Scarred),0.03,0.03,96.0,0.03,0.03,0.03,0.0,0.0,0.03014285714285714,0.00034992710611188283,0.030033333333333353,0.0001795054935711503,0.008468874969236649,895.0,127.85714285714286,5072.0,169.06666666666666,0,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-27,AUG | Colony (Battle-Scarred),0.03,0.03,129.0,0.03,0.03,0.03,0.0,0.0,0.03014285714285714,0.00034992710611188283,0.030033333333333353,0.0001795054935711503,0.008468874969236649,892.0,127.42857142857143,4994.0,166.46666666666667,1,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-28,AUG | Colony (Battle-Scarred),0.03,0.03,79.0,0.03,0.03,0.03,0.0,0.0,0.03014285714285714,0.00034992710611188283,0.030033333333333353,0.00017950549357115034,0.008468874969236649,796.0,113.71428571428571,4824.0,160.8,2,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-29,AUG | Colony (Battle-Scarred),0.03,0.03,90.0,0.03,0.031,0.03,0.0,-0.032258064516129115,0.03,0.0,0.030033333333333353,0.00017950549357115034,0.00846887496923665,691.0,98.71428571428571,4696.0,156.53333333333333,3,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-30,AUG | Colony (Battle-Scarred),0.03,0.03,75.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.030033333333333353,0.00017950549357115034,0.00846887496923665,652.0,93.14285714285714,4610.0,153.66666666666666,4,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-31,AUG | Colony (Battle-Scarred),0.03,0.03,77.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.030033333333333353,0.00017950549357115036,0.00846887496923665,637.0,91.0,4503.0,150.1,5,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-05-01,AUG | Condemned (Factory New),4.372,4.372,8.0,4.602,4.019,4.008,-0.04997827031725344,0.08783279422741974,4.423571428571429,0.22957031735885391,3.817300000000001,0.4696655654115312,0.10346834012978497,38.0,5.428571428571429,177.0,5.9,3,5,0.0,2.979,AUG | Condemned (Factory New),AUG | Condemned (Factory New),0,0
2014-05-02,AUG | Condemned (Factory New),2.977,2.977,2.0,4.372,4.117,4.071,-0.31907593778591037,-0.2769006558173428,4.260714285714285,0.5582937563392115,3.7808333333333337,0.4905581231844216,0.11896148460904038,33.0,4.714285714285714,177.0,5.9,4,5,0.0,3.2687142857142857,AUG | Condemned (Factory New),AUG | Condemned (Factory New),0,0
2014-05-03,AUG | Condemned (Factory New),2.755,2.755,7.0,2.977,4.095,3.552,-0.0745717164931139,-0.3272283272283272,4.069285714285714,0.771366452525408,3.754266666666667,0.5227559617599359,0.11748365601924397,33.0,4.714285714285714,180.0,6.0,5,5,0.0,3.535,AUG | Condemned (Factory New),AUG | Condemned (Factory New),0,0
2014-05-04,AUG | Condemned (Factory New),2.851,2.851,10.0,2.755,4.491,3.665,0.034845735027223323,-0.3651747940325094,3.835,0.852491474611749,3.7271333333333336,0.5472369829932509,0.11751322967788644,39.0,5.571428571428571,178.0,5.933333333333334,6,5,0.0,3.8350000000000004,AUG | Condemned (Factory New),AUG | Condemned (Factory New),0,0
2014-05-05,AUG | Condemned (Factory New),2.668,2.668,10.0,2.851,4.768,3.816,-0.06418800420904935,-0.44043624161073824,3.5349999999999997,0.8407982601585914,3.688866666666667,0.5789065977244419,0.1177743027429555,43.0,6.142857142857143,185.0,6.166666666666667,0,5,0.0,4.069285714285714,AUG | Condemned (Factory New),AUG | Condemned (Factory New),0,0
2014-05-06,AUG | Condemned (Factory New),2.656,2.656,10.0,2.668,4.52,4.256,-0.004497751124437732,-0.4123893805309734,3.2687142857142852,0.7796200016282134,3.6355333333333335,0.5976014688365111,0.11565616392631975,50.0,7.142857142857143,189.0,6.3,1,5,0.0,4.260714285714285,AUG | Condemned (Factory New),AUG | Condemned (Factory New),0,0
2014-05-07,AUG | Condemned (Factory New),2.574,2.574,11.0,2.656,4.602,4.16,-0.030873493975903776,-0.44067796610169496,2.978999999999999,0.5821251706340436,3.582666666666667,0.6186481678268801,0.11569948464992434,58.0,8.285714285714286,197.0,6.566666666666666,2,5,0.0,4.423571428571429,AUG | Condemned (Factory New),AUG | Condemned (Factory New),0,0
2014-05-08,AUG | Condemned (Factory New),2.791,2.791,10.0,2.574,4.372,3.289,0.08430458430458443,-0.36161939615736505,2.753142857142857,0.12530126959957466,3.5660666666666665,0.632824248025381,0.11062569500561148,60.0,8.571428571428571,205.0,6.833333333333333,3,5,0.0,4.373142857142858,AUG | Condemned (Factory New),AUG | Condemned (Factory New),0,0
2014-05-09,AUG | Condemned (Factory New),2.538,2.538,10.0,2.791,2.977,3.429,-0.0906485130777499,-0.14746388982196845,2.690428571428572,0.10592835468622468,3.5363666666666664,0.6589301168476738,0.11153841670918997,68.0,9.714285714285714,209.0,6.966666666666667,4,5,0.0,4.227285714285714,AUG | Condemned (Factory New),AUG | Condemned (Factory New),0,0
2014-05-10,AUG | Condemned (Factory New),2.528,2.528,10.0,2.538,2.755,3.988,-0.003940110323088941,-0.08239564428312152,2.658,0.11551004903717872,3.4877,0.6774325132439392,0.10717429717116991,71.0,10.142857142857142,215.0,7.166666666666667,5,5,0.0,4.157,AUG | Condemned (Factory New),AUG | Condemned (Factory New),0,0
