date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2014-06-01,AUG | Colony (Battle-Scarred),0.03,0.03,84.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.030033333333333353,0.00017950549357115036,0.00846887496923665,630.0,90.0,4450.0,148.33333333333334,6,6,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-06-02,AUG | Colony (Battle-Scarred),0.03,0.03,53.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.030033333333333353,0.00017950549357115036,0.00846887496923665,587.0,83.85714285714286,4314.0,143.8,0,6,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-06-03,AUG | Colony (Battle-Scarred),0.03,0.03,89.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.030033333333333353,0.00017950549357115036,0.008468874969236652,547.0,78.14285714285714,4234.0,141.13333333333333,1,6,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-06-04,AUG | Colony (Battle-Scarred),0.03,0.03,91.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.030033333333333353,0.00017950549357115036,0.008468874969236654,559.0,79.85714285714286,4132.0,137.73333333333332,2,6,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-06-05,AUG | Colony (Battle-Scarred),0.03,0.03,69.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.030033333333333353,0.00017950549357115036,0.008468874969236654,538.0,76.85714285714286,4044.0,134.8,3,6,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-06-06,AUG | Colony (Battle-Scarred),0.03,0.03,83.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.030033333333333353,0.00017950549357115036,0.008468874969236654,546.0,78.0,4000.0,133.33333333333334,4,6,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-06-07,AUG | Colony (Battle-Scarred),0.03,0.03,84.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.030033333333333353,0.00017950549357115036,0.008468874969236654,553.0,79.0,3862.0,128.73333333333332,5,6,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-06-08,AUG | Colony (Battle-Scarred),0.03,0.03,80.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.030033333333333353,0.00017950549357115036,0.008468874969236654,549.0,78.42857142857143,3769.0,125.63333333333334,6,6,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-06-09,AUG | Colony (Battle-Scarred),0.03,0.03,92.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.030033333333333353,0.00017950549357115034,0.008468874969236654,588.0,84.0,3678.0,122.6,0,6,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-06-10,AUG | Colony (Battle-Scarred),0.03,0.03,100.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.030033333333333353,0.00017950549357115034,0.008468874969236654,599.0,85.57142857142857,3647.0,121.56666666666666,1,6,0.0,0.03014285714285714,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-06-11,AUG | Colony (Battle-Scarred),0.03,0.03,65.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.030033333333333353,0.00017950549357115034,0.008468874969236654,573.0,81.85714285714286,3568.0,118.93333333333334,2,6,0.0,0.03014285714285714,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
