date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2014-11-01,AUG | Colony (Battle-Scarred),0.032,0.032,58.0,0.035,0.034,0.03,-0.08571428571428574,-0.05882352941176472,0.031,0.0017728105208558382,0.03233333333333335,0.007217263254786327,0.2689589977779127,321.0,45.857142857142854,1289.0,42.96666666666667,5,11,0.0,0.03214285714285715,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-11-02,AUG | Colony (Battle-Scarred),0.03,0.03,57.0,0.032,0.03,0.03,-0.0625,0.0,0.031,0.0017728105208558382,0.03233333333333335,0.007217263254786327,0.26940744810328976,331.0,47.285714285714285,1305.0,43.5,6,11,0.0,0.03142857142857143,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-11-03,AUG | Colony (Battle-Scarred),0.031,0.031,65.0,0.03,0.03,0.031,0.03333333333333344,0.03333333333333344,0.031142857142857142,0.001726149424799226,0.03233333333333335,0.007217263254786327,0.26940744810328976,367.0,52.42857142857143,1332.0,44.4,0,11,0.0,0.03142857142857143,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-11-04,AUG | Colony (Battle-Scarred),0.032,0.032,47.0,0.031,0.03,0.03,0.032258064516129004,0.06666666666666665,0.03142857142857143,0.0016781914463529632,0.03240000000000002,0.00720462814215048,0.26919401642374535,376.0,53.714285714285715,1333.0,44.43333333333333,1,11,0.0,0.031142857142857142,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-11-05,AUG | Colony (Battle-Scarred),0.03,0.03,82.0,0.032,0.03,0.03,-0.0625,0.0,0.03142857142857143,0.0016781914463529632,0.03240000000000002,0.00720462814215048,0.26964259512194344,414.0,59.142857142857146,1376.0,45.86666666666667,2,11,0.0,0.031,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-11-06,AUG | Colony (Battle-Scarred),0.035,0.035,62.0,0.03,0.03,0.03,0.16666666666666674,0.16666666666666674,0.03214285714285715,0.001958758457257443,0.03256666666666669,0.007205013686470155,0.27077006012505284,425.0,60.714285714285715,1407.0,46.9,3,11,0.0,0.031,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-11-07,AUG | Colony (Battle-Scarred),0.03,0.03,55.0,0.035,0.035,0.03,-0.14285714285714302,-0.14285714285714302,0.03142857142857143,0.001678191446352963,0.03256666666666669,0.007205013686470155,0.27252866570814105,426.0,60.857142857142854,1412.0,47.06666666666667,4,11,0.0,0.031285714285714285,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-11-08,AUG | Colony (Battle-Scarred),0.03,0.03,65.0,0.03,0.032,0.03,0.0,-0.0625,0.031142857142857142,0.0017261494247992261,0.03256666666666669,0.007205013686470155,0.272528665708141,433.0,61.857142857142854,1435.0,47.833333333333336,5,11,0.0,0.03628571428571429,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-11-09,AUG | Colony (Battle-Scarred),0.035,0.035,38.0,0.03,0.03,0.036,0.16666666666666674,0.16666666666666674,0.031857142857142855,0.0020995626366712974,0.03253333333333335,0.007191352832086295,0.2718862784331985,414.0,59.142857142857146,1405.0,46.833333333333336,6,11,0.0,0.03628571428571429,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-11-10,AUG | Colony (Battle-Scarred),0.03,0.03,33.0,0.035,0.031,0.035,-0.14285714285714302,-0.032258064516129115,0.031714285714285716,0.0021852940772540525,0.03236666666666668,0.007190193939588065,0.2734170152979196,382.0,54.57142857142857,1404.0,46.8,0,11,0.0,0.03628571428571429,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-11-11,AUG | Colony (Battle-Scarred),0.034,0.034,52.0,0.03,0.032,0.03,0.13333333333333353,0.0625,0.032,0.0023299294900428723,0.032500000000000015,0.007182153808805085,0.27237354836572164,387.0,55.285714285714285,1408.0,46.93333333333333,1,11,0.0,0.03628571428571429,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
