date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2015-02-01,AK-47 | Cartel (Factory New),11.216,11.216,177.0,11.644,13.896,,-0.0367571281346617,-0.1928612550374209,11.86,0.5652824831128997,18.169416666666667,8.005156197292814,0.08120099199891563,1060.0,151.42857142857142,2770.0,115.41666666666667,6,2,0.0,10.156428571428572,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-02,AK-47 | Cartel (Factory New),11.129,11.129,145.0,11.216,12.441,,-0.007756776034236745,-0.10545776063017454,11.672571428571429,0.5590430234255824,17.8878,7.963831705906398,0.08004295727624075,1063.0,151.85714285714286,2915.0,116.6,0,2,0.0,10.315571428571428,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-03,AK-47 | Cartel (Factory New),11.047,11.047,134.0,11.129,12.648,,-0.007368137298948585,-0.12658127767235916,11.443857142857143,0.42450153241232025,17.624692307692307,7.919212430583617,0.07892830103633658,1090.0,155.71428571428572,3049.0,117.26923076923077,1,2,0.0,10.500428571428571,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-04,AK-47 | Cartel (Factory New),10.664,10.664,153.0,11.047,12.356,,-0.03467004616638014,-0.13693752023308514,11.202142857142858,0.29966716230388896,17.36688888888889,7.881574411872068,0.0774587256156228,1128.0,161.14285714285714,3202.0,118.5925925925926,2,2,0.0,10.705285714285717,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-05,AK-47 | Cartel (Factory New),10.735,10.735,160.0,10.664,11.539,,0.006657914478619631,-0.06967674841840721,11.087285714285715,0.30260946745916334,17.130035714285714,7.836795028591284,0.07676829286618746,1145.0,163.57142857142858,3362.0,120.07142857142857,3,2,0.0,10.877571428571429,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-06,AK-47 | Cartel (Factory New),10.814,10.814,163.0,10.735,11.176,,0.007359105728924176,-0.03239083750894778,11.035571428571428,0.31375643744920423,16.912241379310345,7.786253774331259,0.0760867146930188,1127.0,161.0,3525.0,121.55172413793103,4,2,0.0,11.03557142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-07,AK-47 | Cartel (Factory New),10.538,10.538,194.0,10.814,11.644,,-0.02552247087109305,-0.09498454139470969,10.877571428571427,0.2365664250678606,16.69976666666667,7.740420478170995,0.0748586256344502,1126.0,160.85714285714286,3719.0,123.96666666666667,5,2,0.0,11.087285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-08,AK-47 | Cartel (Factory New),10.01,10.01,191.0,10.538,11.216,44.737,-0.050104384133611735,-0.10752496433666192,10.705285714285717,0.34270258421040517,15.542200000000001,5.819195198650756,0.07360504956180725,1140.0,162.85714285714286,3847.0,128.23333333333332,6,2,0.0,11.202142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-09,AK-47 | Cartel (Factory New),9.695,9.695,173.0,10.01,11.129,35.572,-0.03146853146853146,-0.128852547398688,10.500428571428571,0.4423143217031001,14.679633333333335,4.570073686374093,0.06742451252502488,1168.0,166.85714285714286,3940.0,131.33333333333334,0,2,0.0,11.443857142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-10,AK-47 | Cartel (Factory New),9.753,9.753,140.0,9.695,11.047,26.079,0.005982465188241415,-0.11713587399293934,10.31557142857143,0.4456452327461695,14.135433333333335,4.131217541946792,0.053064990822636104,1174.0,167.71428571428572,3969.0,132.3,1,2,0.0,11.672571428571429,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-11,AK-47 | Cartel (Factory New),9.55,9.55,162.0,9.753,10.664,23.574,-0.020814108479442206,-0.1044636159039759,10.156428571428572,0.4895493137695575,13.667966666666668,3.818344566984785,0.05168055618516158,1183.0,169.0,4034.0,134.46666666666667,2,2,0.0,11.860000000000001,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-12,AK-47 | Cartel (Factory New),9.638,9.638,148.0,9.55,10.735,23.963,0.009214659685863769,-0.10218910107126222,9.999714285714287,0.453512864610638,13.190466666666667,3.370486559665961,0.05148632888473617,1171.0,167.28571428571428,4092.0,136.4,3,2,0.0,12.242857142857144,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-13,AK-47 | Cartel (Factory New),9.608,9.608,209.0,9.638,10.814,21.648,-0.003112678979041217,-0.11152210098021076,9.827428571428571,0.3212297162658599,12.789133333333334,3.0401619116239336,0.050080679401551996,1217.0,173.85714285714286,4224.0,140.8,4,2,0.0,12.728857142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-14,AK-47 | Cartel (Factory New),10.078,10.078,191.0,9.608,10.538,20.451,0.048917568692755875,-0.043651546783070816,9.761714285714286,0.18896916928106386,12.443366666666664,2.722357672843318,0.051481054198815795,1214.0,173.42857142857142,4328.0,144.26666666666668,5,2,0.0,13.135142857142856,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-15,AK-47 | Cartel (Factory New),9.668,9.668,199.0,10.078,10.01,20.915,-0.04068267513395518,-0.034165834165834186,9.712857142857144,0.1605316422493248,12.068466666666664,2.2660871376792984,0.05090411940703267,1222.0,174.57142857142858,4445.0,148.16666666666666,6,2,0.0,13.498714285714286,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-16,AK-47 | Cartel (Factory New),9.711,9.711,170.0,9.668,9.695,18.153,0.004447662391394491,0.0016503352243424363,9.71514285714286,0.16037494333273977,11.787066666666663,2.0017912967029194,0.04699575130749829,1219.0,174.14285714285714,4509.0,150.3,0,2,0.0,13.826285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-17,AK-47 | Cartel (Factory New),9.611,9.611,177.0,9.711,9.753,15.418,-0.010297600659046391,-0.014559622680200945,9.694857142857144,0.1632582779099496,11.593499999999999,1.9204391815415551,0.040198583963111725,1256.0,179.42857142857142,4554.0,151.8,1,2,0.0,14.111142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-18,AK-47 | Cartel (Factory New),9.341,9.341,166.0,9.611,9.55,16.199,-0.02809281032150679,-0.02188481675392684,9.665000000000001,0.20162341133906048,11.364899999999999,1.760094568482046,0.038367715870847335,1260.0,180.0,4626.0,154.2,2,2,0.0,14.648,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-19,AK-47 | Cartel (Factory New),9.271,9.271,184.0,9.341,9.638,14.642,-0.007493844342147393,-0.03807843951027179,9.61257142857143,0.24489931292142827,11.185866666666666,1.6893927061389709,0.035500189645079325,1296.0,185.14285714285714,4702.0,156.73333333333332,3,2,0.0,14.86542857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-20,AK-47 | Cartel (Factory New),9.323,9.323,189.0,9.271,9.608,14.649,0.005608887930104611,-0.029662781015820205,9.571857142857143,0.2651298488188264,11.008333333333331,1.5932447883346599,0.03558408546849386,1276.0,182.28571428571428,4795.0,159.83333333333334,4,2,0.0,15.309285714285712,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-21,AK-47 | Cartel (Factory New),9.345,9.345,180.0,9.323,10.078,14.084,0.0023597554435268453,-0.07273268505655872,9.467142857142857,0.17344610407964806,10.850366666666668,1.5133981296700774,0.03541186764651359,1265.0,180.71428571428572,4869.0,162.3,5,2,0.0,16.29428571428571,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-22,AK-47 | Cartel (Factory New),9.209,9.209,170.0,9.345,9.668,14.02,-0.014553237025147214,-0.047476210177906486,9.40157142857143,0.1718727578703479,10.690000000000001,1.421116955074423,0.03537831365802073,1236.0,176.57142857142858,4909.0,163.63333333333333,6,2,0.0,17.203857142857142,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-23,AK-47 | Cartel (Factory New),9.527,9.527,158.0,9.209,9.711,15.046,0.034531436638071344,-0.018947585212645612,9.375285714285713,0.1319802087822416,10.506033333333335,1.182507547074812,0.032817539728910036,1224.0,174.85714285714286,4948.0,164.93333333333334,0,2,0.0,18.203714285714284,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-24,AK-47 | Cartel (Factory New),9.673,9.673,163.0,9.527,9.611,13.896,0.015324866169833085,0.006450941629382978,9.384142857142859,0.1485428543950758,10.365266666666667,1.0092461851412775,0.031141965478708726,1210.0,172.85714285714286,4979.0,165.96666666666667,1,2,0.0,19.535285714285713,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-25,AK-47 | Cartel (Factory New),9.256,9.256,158.0,9.673,9.341,12.441,-0.04310968675695237,-0.009099668129750493,9.372,0.1549110343759557,10.2591,0.9511571671741039,0.02663365247223291,1202.0,171.71428571428572,4995.0,166.5,2,2,0.0,20.588857142857144,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-26,AK-47 | Cartel (Factory New),8.661,8.661,172.0,9.256,9.271,12.648,-0.06428262748487479,-0.06579656994930438,9.284857142857144,0.29523473884420887,10.1262,0.884273841446566,0.0279213119711559,1190.0,170.0,5060.0,168.66666666666666,3,2,0.0,22.111857142857144,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-27,AK-47 | Cartel (Factory New),8.832,8.832,217.0,8.661,9.323,12.356,0.019743678559057898,-0.05266545103507447,9.214714285714289,0.3336656642661993,10.008733333333334,0.8113199095027529,0.028416171280230874,1218.0,174.0,5162.0,172.06666666666666,4,2,0.0,24.600285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-28,AK-47 | Cartel (Factory New),8.926,8.926,208.0,8.832,9.345,11.539,0.010643115942028825,-0.044836811128946,9.154857142857143,0.3423930191926182,9.921633333333334,0.7820955390629857,0.026717778387783775,1246.0,178.0,5227.0,174.23333333333332,5,2,0.0,28.00342857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2015-02-01,AUG | Colony (Battle-Scarred),0.03,0.03,146.0,0.032,0.03,0.03,-0.0625,0.0,0.030285714285714284,0.0006998542122237658,0.13313333333333327,0.30068607476162834,10.03980995176775,761.0,108.71428571428571,3332.0,111.06666666666666,6,2,0.0,0.2537142857142857,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2015-02-02,AUG | Colony (Battle-Scarred),0.03,0.03,82.0,0.03,0.03,0.03,0.0,0.0,0.030285714285714284,0.0006998542122237657,0.13313333333333327,0.30068607476162834,10.03980995176775,740.0,105.71428571428571,3317.0,110.56666666666666,0,2,0.0,0.2537142857142857,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2015-02-03,AUG | Colony (Battle-Scarred),1.594,1.594,106.0,0.03,0.03,0.743,52.13333333333334,52.13333333333334,0.2537142857142857,0.5471697867300461,0.16149999999999992,0.3851587335112629,12.86437655435798,751.0,107.28571428571429,3307.0,110.23333333333333,1,2,0.0,0.030285714285714284,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2015-02-04,AUG | Colony (Battle-Scarred),0.03,0.03,107.0,1.594,0.03,0.03,-0.9811794228356336,0.0,0.2537142857142857,0.547169786730046,0.16149999999999992,0.3851587335112629,12.864666053674252,783.0,111.85714285714286,3266.0,108.86666666666666,2,2,0.0,0.030285714285714284,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2015-02-05,AUG | Colony (Battle-Scarred),0.03,0.03,97.0,0.03,0.03,0.031,0.0,0.0,0.2537142857142857,0.547169786730046,0.16146666666666662,0.38517006921906877,12.865028376683718,795.0,113.57142857142857,3253.0,108.43333333333334,3,2,0.0,0.030285714285714284,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2015-02-06,AUG | Colony (Battle-Scarred),0.03,0.03,99.0,0.03,0.03,0.033,0.0,0.0,0.2537142857142857,0.5471697867300461,0.1613666666666666,0.38520379743137995,12.865726739301897,784.0,112.0,3284.0,109.46666666666667,4,2,0.0,0.11214285714285713,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2015-02-07,AUG | Colony (Battle-Scarred),0.03,0.03,142.0,0.03,0.032,0.395,0.0,-0.0625,0.25342857142857145,0.5472859939589845,0.1492,0.38339234908032965,12.824204637251022,779.0,111.28571428571429,3330.0,111.0,5,2,0.0,0.11214285714285714,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2015-02-08,AUG | Colony (Battle-Scarred),0.03,0.03,107.0,0.03,0.03,0.03,0.0,0.0,0.25342857142857145,0.5472859939589845,0.1492,0.38339234908032965,12.81382247475722,740.0,105.71428571428571,3306.0,110.2,6,2,0.0,0.11214285714285714,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2015-02-09,AUG | Colony (Battle-Scarred),0.03,0.03,77.0,0.03,0.03,0.03,0.0,0.0,0.25342857142857145,0.5472859939589845,0.1492,0.38339234908032965,12.81382247475722,735.0,105.0,3272.0,109.06666666666666,0,2,0.0,0.11214285714285714,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2015-02-10,AUG | Colony (Battle-Scarred),0.03,0.03,134.0,0.03,1.594,0.03,0.0,-0.9811794228356336,0.03,0.0,0.14920000000000003,0.38339234908032965,12.81382247475722,763.0,109.0,3263.0,108.76666666666667,1,2,0.0,0.11214285714285717,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2015-02-11,AUG | Colony (Battle-Scarred),0.032,0.032,92.0,0.03,0.03,0.03,0.06666666666666665,0.06666666666666665,0.030285714285714284,0.0006998542122237658,0.1492666666666667,0.3833717893753906,12.813156164690303,748.0,106.85714285714286,3254.0,108.46666666666667,2,2,0.0,0.11214285714285717,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2015-02-12,AUG | Colony (Battle-Scarred),0.03,0.03,81.0,0.032,0.03,0.03,-0.0625,0.0,0.030285714285714284,0.0006998542122237658,0.1492666666666667,0.3833717893753906,12.813791342984782,732.0,104.57142857142857,3224.0,107.46666666666667,3,2,0.0,0.31714285714285717,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
