date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir,steam_valid,missing_raw,price_was_filled,days_since_last_trade,mom_7,mom_14,roll_mean_14,roll_std_14,log_price,cat_index_used,rel_to_cat,spread_to_cat,vol_weighted_return,cat_mom_7,mom_vs_cat_7
2020-12-15,AK-47 | Baroque Purple (Battle-Scarred),1.438,1.438,137.0,1.371,1.288,1.291,0.048869438366156,0.1164596273291924,1.337714285714286,0.0522349480321208,1.3090000000000004,0.0668156668254783,0.0345142001577825,970.0,138.57142857142858,4274.0,142.46666666666667,1,12,0.0,1.370285714285714,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,0.11645962732919246,0.14036478984932588,1.2965,0.06935943172511404,0.8911780310590798,,,,0.11645962732919246,,
2020-12-16,AK-47 | Baroque Purple (Battle-Scarred),1.414,1.414,146.0,1.438,1.289,1.307,-0.0166898470097357,0.0969743987587277,1.3555714285714286,0.0538698355638242,1.3125666666666669,0.0694188655113931,0.0346791766500564,970.0,138.57142857142858,4273.0,142.43333333333334,2,12,0.0,1.3525714285714283,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,0.09697439875872771,0.08352490421455938,1.3042857142857145,0.07617028349633517,0.8812851226753398,,,,0.050029195119343624,,
2020-12-17,AK-47 | Baroque Purple (Battle-Scarred),1.416,1.416,156.0,1.414,1.297,1.312,0.0014144271570013,0.0917501927525057,1.3725714285714286,0.0514249998759834,1.3160333333333334,0.0718579540173219,0.0346805543174722,1008.0,144.0,4293.0,143.1,3,12,0.0,1.335714285714286,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,0.09175019275250573,0.07680608365019004,1.3115,0.08183543524377714,0.8821132800725685,,,,0.03260371314212049,,
2020-12-18,AK-47 | Baroque Purple (Battle-Scarred),1.462,1.462,152.0,1.416,1.286,1.329,0.0324858757062147,0.1368584758942457,1.3977142857142857,0.0456530840319977,1.3204666666666671,0.0764755879712968,0.0350394899427999,1023.0,146.14285714285714,4322.0,144.06666666666666,4,12,0.0,1.3202857142857145,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,0.1368584758942457,0.27130434782608703,1.3337857142857144,0.07679961795921443,0.9009740277622618,,,,0.03519879583066895,,
2020-12-19,AK-47 | Baroque Purple (Battle-Scarred),1.525,1.525,164.0,1.462,1.317,1.346,0.0430916552667577,0.1579347000759301,1.4274285714285713,0.0508438987570418,1.3264333333333336,0.0847681871668585,0.0357135968940939,1048.0,149.71428571428572,4363.0,145.43333333333334,5,12,0.0,1.3104285714285715,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,0.15793470007593013,0.24897624897624882,1.3555,0.08499660626709188,0.9262410627273231,,,,0.034306345446957015,,
2020-12-20,AK-47 | Baroque Purple (Battle-Scarred),1.5,1.5,142.0,1.525,1.366,1.37,-0.0163934426229507,0.0980966325036603,1.4465714285714284,0.0493148981918595,1.3307666666666669,0.0900432056786567,0.0358266954682748,1059.0,151.28571428571428,4357.0,145.23333333333332,6,12,0.0,1.3025714285714287,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,0.0980966325036603,0.20772946859903385,1.3739285714285714,0.08645182231981893,0.9162907318741551,,,,0.015529232793221586,,
2020-12-21,AK-47 | Baroque Purple (Battle-Scarred),1.528,1.528,110.0,1.5,1.371,1.395,0.0186666666666666,0.1145149525893509,1.469,0.0453903702814343,1.3352,0.0961628479888846,0.0358324405108144,1007.0,143.85714285714286,4312.0,143.73333333333332,0,12,0.0,1.2935714285714286,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,0.11451495258935096,0.20695102685624023,1.392642857142857,0.08959190137065262,0.927428476284611,,,,0.012509081216314404,,
2020-12-22,AK-47 | Baroque Purple (Battle-Scarred),1.463,1.463,167.0,1.528,1.438,1.409,-0.0425392670157067,0.017385257301808,1.4725714285714286,0.0437651431518513,1.337,0.0980149648438101,0.0367539488045585,1037.0,148.14285714285714,4381.0,146.03333333333333,1,12,0.0,1.2894285714285714,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,0.017385257301808066,0.13586956521739135,1.4051428571428572,0.08600523878753578,0.9013801191384009,,,,0.0027997473186132564,0.017385257301808066,0.0
2020-12-23,AK-47 | Baroque Purple (Battle-Scarred),1.399,1.399,156.0,1.463,1.414,1.431,-0.0437457279562543,-0.0106082036775105,1.470428571428572,0.0468397180144529,1.3359333333333334,0.0971565517891385,0.03755450426995,1047.0,149.57142857142858,4438.0,147.93333333333334,2,12,0.0,1.2805714285714285,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.010608203677510586,0.0853374709076804,1.413,0.0793453987808509,0.8750519838575576,,,,-0.0015805919519500014,0.00338852681214874,-0.013996730489659326
2020-12-24,AK-47 | Baroque Purple (Battle-Scarred),1.397,1.397,166.0,1.399,1.416,1.399,-0.0014295925661186,-0.013418079096045,1.4677142857142855,0.0503352029206322,1.3358666666666668,0.0971139308006609,0.037326736483626,1057.0,151.0,4481.0,149.36666666666667,3,12,0.0,1.2738571428571428,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.013418079096045088,0.07710100231303008,1.420142857142857,0.07228666984557097,0.8742179554522473,,,,-0.00210728583722184,-0.002213675157249203,-0.011204403938795885
2020-12-25,AK-47 | Baroque Purple (Battle-Scarred),1.483,1.483,146.0,1.397,1.462,1.331,0.0615604867573371,0.0143638850889193,1.4707142857142856,0.0505306534568425,1.340933333333333,0.1006293308246766,0.0377149051156011,1051.0,150.14285714285714,4501.0,150.03333333333333,4,12,0.0,1.271285714285714,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,0.014363885088919393,0.15318818040435467,1.4342142857142857,0.06270465394509059,0.9094675065260296,,,,0.0019953636755301917,0.0019307149042929461,0.012433170184626446
