date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir,steam_valid,missing_raw,price_was_filled,days_since_last_trade,mom_7,mom_14,roll_mean_14,roll_std_14,log_price,idx_lp_valve_tier1_t0,idx_lp_valve_tier1_t7,idx_lp_valve_tier1_pm7,idx_lp_valve_tier1_pm30,idx_lp_s_tier_t0,idx_lp_s_tier_t7,idx_lp_s_tier_pm7,idx_lp_s_tier_pm30,idx_lp_a_tier_t0,idx_lp_a_tier_t7,idx_lp_a_tier_pm7,idx_lp_a_tier_pm30,lp_valve_tier1,lp_valve_tier1_cnt,lp_s_tier,lp_s_tier_cnt,lp_a_tier,lp_a_tier_cnt,lp_event_score,lp_event_intensity,lp_valve_tier1_cnt_norm,lp_s_tier_cnt_norm,lp_a_tier_cnt_norm,lp_event_score_norm,lp_event_intensity_norm
2014-05-15,AUG | Colony (Battle-Scarred),0.03,0.03,221.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03,2.0816681711721685e-17,0.0,1160.0,165.71428571428572,5638.0,187.9333333333333,3,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,0.0,0.03,0.0,0.0295588022415444,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
2014-05-15,AUG | Colony (Battle-Scarred),0.03,0.03,221.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03,2.0816681711721685e-17,0.0,1160.0,165.71428571428572,5638.0,187.9333333333333,3,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,0.0,0.03,0.0,0.0295588022415444,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-16,AUG | Colony (Battle-Scarred),0.03,0.03,270.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03,2.0816681711721685e-17,0.0,1257.0,179.57142857142858,5733.0,191.1,4,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,0.0,0.03,0.0,0.0295588022415444,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
2014-05-16,AUG | Colony (Battle-Scarred),0.03,0.03,270.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03,2.0816681711721685e-17,0.0,1257.0,179.57142857142858,5733.0,191.1,4,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,0.0,0.03,0.0,0.0295588022415444,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-17,AUG | Colony (Battle-Scarred),0.03,0.03,202.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03,2.0816681711721685e-17,0.0,1276.0,182.28571428571428,5730.0,191.0,5,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,0.0,0.03,0.0,0.0295588022415444,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
2014-05-17,AUG | Colony (Battle-Scarred),0.03,0.03,202.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03,2.0816681711721685e-17,0.0,1276.0,182.28571428571428,5730.0,191.0,5,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,0.0,0.03,0.0,0.0295588022415444,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-18,AUG | Colony (Battle-Scarred),0.03,0.03,177.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03,2.0816681711721685e-17,0.0,1322.0,188.8571428571429,5693.0,189.76666666666668,6,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,0.0,0.03,0.0,0.0295588022415444,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
2014-05-18,AUG | Colony (Battle-Scarred),0.03,0.03,177.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03,2.0816681711721685e-17,0.0,1322.0,188.8571428571429,5693.0,189.76666666666668,6,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,0.0,0.03,0.0,0.0295588022415444,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-19,AUG | Colony (Battle-Scarred),0.03,0.03,155.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03,2.0816681711721685e-17,0.0,1333.0,190.42857142857144,5655.0,188.5,0,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,0.0,0.03,0.0,0.0295588022415444,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
2014-05-19,AUG | Colony (Battle-Scarred),0.03,0.03,155.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03,2.0816681711721685e-17,0.0,1333.0,190.42857142857144,5655.0,188.5,0,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,0.0,0.03,0.0,0.0295588022415444,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-20,AUG | Colony (Battle-Scarred),0.03,0.03,132.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.03,2.0816681711721685e-17,0.0,1333.0,190.42857142857144,5614.0,187.13333333333333,1,5,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,0.0,0.03,0.0,0.0295588022415444,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
