date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir,steam_valid,missing_raw,price_was_filled,days_since_last_trade,mom_7,mom_14,roll_mean_14,roll_std_14,log_price,idx_lp_valve_tier1_t0,idx_lp_valve_tier1_t7,idx_lp_valve_tier1_pm7,idx_lp_valve_tier1_pm30,idx_lp_s_tier_t0,idx_lp_s_tier_t7,idx_lp_s_tier_pm7,idx_lp_s_tier_pm30,idx_lp_a_tier_t0,idx_lp_a_tier_t7,idx_lp_a_tier_pm7,idx_lp_a_tier_pm30,lp_valve_tier1,lp_valve_tier1_cnt,lp_s_tier,lp_s_tier_cnt,lp_a_tier,lp_a_tier_cnt,lp_event_score,lp_event_intensity,lp_valve_tier1_cnt_norm,lp_s_tier_cnt_norm,lp_a_tier_cnt_norm,lp_event_score_norm,lp_event_intensity_norm
2016-04-15,AK-47 | Cartel (Factory New),4.584,4.584,174.0,4.743,4.642,4.037,-0.0335230866540166,-0.0124946143903491,4.700000000000001,0.082652456535959,4.3058,0.3173169183429504,0.0273899720579554,1195.0,170.71428571428572,5617.0,187.2333333333333,4,4,0.0,4.098285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.0124946143903491,0.0732849449777568,4.609857142857143,0.1471021921830363,1.7199053654600711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
2016-04-15,AK-47 | Cartel (Factory New),4.584,4.584,174.0,4.743,4.642,4.037,-0.0335230866540166,-0.0124946143903491,4.700000000000001,0.082652456535959,4.3058,0.3173169183429504,0.0273899720579554,1195.0,170.71428571428572,5617.0,187.2333333333333,4,4,0.0,4.098285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.0124946143903491,0.0732849449777568,4.609857142857143,0.1471021921830363,1.7199053654600711,,,,,,,,,,,,,1.0,5.0,1.0,4.0,1.0,2.0,45.0,45.0,1.0,1.0,1.0,1.0,1.0
2016-04-16,AK-47 | Cartel (Factory New),4.769,4.769,199.0,4.584,4.847,4.073,0.0403577661431064,-0.0160924283061688,4.688857142857144,0.0655774973848905,4.329,0.3248031198536533,0.0281260477411871,1179.0,168.42857142857142,5673.0,189.1,5,4,0.0,4.084142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.0160924283061688,0.0590717299578058,4.628857142857143,0.1493992365045146,1.7524987552747524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
2016-04-16,AK-47 | Cartel (Factory New),4.769,4.769,199.0,4.584,4.847,4.073,0.0403577661431064,-0.0160924283061688,4.688857142857144,0.0655774973848905,4.329,0.3248031198536533,0.0281260477411871,1179.0,168.42857142857142,5673.0,189.1,5,4,0.0,4.084142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.0160924283061688,0.0590717299578058,4.628857142857143,0.1493992365045146,1.7524987552747524,,,,,,,,,,,,,1.0,5.0,1.0,4.0,1.0,2.0,45.0,45.0,1.0,1.0,1.0,1.0,1.0
2016-04-17,AK-47 | Cartel (Factory New),4.548,4.548,182.0,4.769,4.744,4.051,-0.0463409519815475,-0.0413153456998313,4.660857142857144,0.0769181913676168,4.345566666666667,0.3228702198854656,0.0295852287760456,1158.0,165.42857142857142,5685.0,189.5,6,4,0.0,4.071428571428571,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.0413153456998313,0.056445993031359,4.646214285714286,0.1201276107193632,1.7134375024525852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
2016-04-17,AK-47 | Cartel (Factory New),4.548,4.548,182.0,4.769,4.744,4.051,-0.0463409519815475,-0.0413153456998313,4.660857142857144,0.0769181913676168,4.345566666666667,0.3228702198854656,0.0295852287760456,1158.0,165.42857142857142,5685.0,189.5,6,4,0.0,4.071428571428571,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.0413153456998313,0.056445993031359,4.646214285714286,0.1201276107193632,1.7134375024525852,,,,,,,,,,,,,1.0,5.0,1.0,4.0,1.0,2.0,45.0,45.0,1.0,1.0,1.0,1.0,1.0
2016-04-18,AK-47 | Cartel (Factory New),4.516,4.516,173.0,4.548,4.659,4.106,-0.0070360598065083,-0.0306932818201329,4.640428571428571,0.0921750774231256,4.359233333333333,0.3211130313283609,0.0296011797086447,1170.0,167.14285714285714,5643.0,188.1,0,4,0.0,4.028142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.0306932818201329,0.0238041260485151,4.653714285714286,0.1068575101362906,1.7076529599310557,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,
2016-04-18,AK-47 | Cartel (Factory New),4.516,4.516,173.0,4.548,4.659,4.106,-0.0070360598065083,-0.0306932818201329,4.640428571428571,0.0921750774231256,4.359233333333333,0.3211130313283609,0.0296011797086447,1170.0,167.14285714285714,5643.0,188.1,0,4,0.0,4.028142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.0306932818201329,0.0238041260485151,4.653714285714286,0.1068575101362906,1.7076529599310557,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-19,AK-47 | Cartel (Factory New),4.484,4.484,152.0,4.516,4.708,4.07,-0.0070859167404783,-0.0475785896346644,4.608428571428571,0.101566103939197,4.373033333333334,0.3172593558729024,0.0295792630887983,1170.0,167.14285714285714,5607.0,186.9,1,4,0.0,4.009428571428571,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.0475785896346644,0.0076404494382023,4.656142857142858,0.1021543757433644,1.701834761700068,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,
2016-04-19,AK-47 | Cartel (Factory New),4.484,4.484,152.0,4.516,4.708,4.07,-0.0070859167404783,-0.0475785896346644,4.608428571428571,0.101566103939197,4.373033333333334,0.3172593558729024,0.0295792630887983,1170.0,167.14285714285714,5607.0,186.9,1,4,0.0,4.009428571428571,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.0475785896346644,0.0076404494382023,4.656142857142858,0.1021543757433644,1.701834761700068,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-20,AK-47 | Cartel (Factory New),4.546,4.546,147.0,4.484,4.615,4.186,0.0138269402319357,-0.0149512459371614,4.598571428571428,0.1037742841016807,4.385033333333334,0.3167660002097588,0.0292844542318625,1172.0,167.42857142857142,5591.0,186.36666666666667,2,4,0.0,3.9682857142857135,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.0149512459371614,-0.0223655913978494,4.648714285714285,0.1063314329178987,1.7130769471935865,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,
