date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir,idx_lp_valve_tier1_t0,idx_lp_valve_tier1_t7,idx_lp_valve_tier1_pm7,idx_lp_valve_tier1_pm30,idx_lp_s_tier_t0,idx_lp_s_tier_t7,idx_lp_s_tier_pm7,idx_lp_s_tier_pm30,idx_lp_a_tier_t0,idx_lp_a_tier_t7,idx_lp_a_tier_pm7,idx_lp_a_tier_pm30,lp_valve_tier1,lp_valve_tier1_cnt,lp_s_tier,lp_s_tier_cnt,lp_a_tier,lp_a_tier_cnt,lp_event_score,lp_event_intensity,lp_valve_tier1_cnt_norm,lp_s_tier_cnt_norm,lp_a_tier_cnt_norm,lp_event_score_norm,lp_event_intensity_norm
2013-08-15,AWP | Snake Camo (Battle-Scarred),10.918,10.918,3.0,,,,,,,,,,,,,,,3,8,0.0,6.251428571428571,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2013-08-15,AWP | Snake Camo (Battle-Scarred),10.918,10.918,3.0,,,,,,,,,,,,,,,3,8,0.0,6.251428571428571,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-16,AWP | Snake Camo (Battle-Scarred),10.36,10.36,5.0,10.918,,,-0.0511082615863711,,,,,,,,,,,4,8,0.0,6.268142857142857,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2013-08-16,AWP | Snake Camo (Battle-Scarred),10.36,10.36,5.0,10.918,,,-0.0511082615863711,,,,,,,,,,,4,8,0.0,6.268142857142857,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-17,AWP | Snake Camo (Battle-Scarred),9.228,9.228,5.0,10.36,,,-0.1092664092664092,,10.168666666666669,0.7030795750758861,,,,13.0,4.333333333333333,,,5,8,0.0,6.40957142857143,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2013-08-17,AWP | Snake Camo (Battle-Scarred),9.228,9.228,5.0,10.36,,,-0.1092664092664092,,10.168666666666669,0.7030795750758861,,,,13.0,4.333333333333333,,,5,8,0.0,6.40957142857143,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-18,AWP | Snake Camo (Battle-Scarred),9.367,9.367,6.0,9.228,,,0.0150628521889901,,9.96825,0.70088600178631,,,,19.0,4.75,,,6,8,0.0,6.364857142857142,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2013-08-18,AWP | Snake Camo (Battle-Scarred),9.367,9.367,6.0,9.228,,,0.0150628521889901,,9.96825,0.70088600178631,,,,19.0,4.75,,,6,8,0.0,6.364857142857142,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-19,AWP | Snake Camo (Battle-Scarred),7.894,7.894,7.0,9.367,,,-0.1572541902423402,,9.5534,1.0399014568698322,,,,26.0,5.2,,,0,8,0.0,6.507714285714286,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2013-08-19,AWP | Snake Camo (Battle-Scarred),7.894,7.894,7.0,9.367,,,-0.1572541902423402,,9.5534,1.0399014568698322,,,,26.0,5.2,,,0,8,0.0,6.507714285714286,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
