date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir,idx_lp_valve_tier1_t0,idx_lp_valve_tier1_t7,idx_lp_valve_tier1_pm7,idx_lp_valve_tier1_pm30,idx_lp_s_tier_t0,idx_lp_s_tier_t7,idx_lp_s_tier_pm7,idx_lp_s_tier_pm30,idx_lp_a_tier_t0,idx_lp_a_tier_t7,idx_lp_a_tier_pm7,idx_lp_a_tier_pm30,lp_valve_tier1,lp_valve_tier1_cnt,lp_s_tier,lp_s_tier_cnt,lp_a_tier,lp_a_tier_cnt,lp_event_score,lp_event_intensity,lp_valve_tier1_cnt_norm,lp_s_tier_cnt_norm,lp_a_tier_cnt_norm,lp_event_score_norm,lp_event_intensity_norm
2013-12-01,AUG | Colony (Battle-Scarred),0.044,0.044,46.0,0.055,,,-0.2,,0.0715,0.0291590466236466,,,,104.0,26.0,,,6,12,0.0,0.0317142857142857,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
2013-12-01,AUG | Colony (Battle-Scarred),0.044,0.044,46.0,0.055,,,-0.2,,0.0715,0.0291590466236466,,,,104.0,26.0,,,6,12,0.0,0.0317142857142857,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-02,AUG | Colony (Battle-Scarred),0.036,0.036,42.0,0.044,,,-0.1818181818181818,,0.0643999999999999,0.02969579094754,,,,146.0,29.2,,,0,12,0.0,0.033,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
2013-12-02,AUG | Colony (Battle-Scarred),0.036,0.036,42.0,0.044,,,-0.1818181818181818,,0.0643999999999999,0.02969579094754,,,,146.0,29.2,,,0,12,0.0,0.033,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-03,AUG | Colony (Battle-Scarred),0.034,0.034,44.0,0.036,,,-0.0555555555555554,,0.0593333333333333,0.0293806436658937,,,,190.0,31.666666666666668,,,1,12,0.0,0.0335714285714285,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
2013-12-03,AUG | Colony (Battle-Scarred),0.034,0.034,44.0,0.036,,,-0.0555555555555554,,0.0593333333333333,0.0293806436658937,,,,190.0,31.666666666666668,,,1,12,0.0,0.0335714285714285,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-04,AUG | Colony (Battle-Scarred),0.048,0.048,28.0,0.034,,,0.4117647058823528,,0.0577142857142857,0.0274887732185564,,,,218.0,31.142857142857142,,,2,12,0.0,0.0342857142857142,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
2013-12-04,AUG | Colony (Battle-Scarred),0.048,0.048,28.0,0.034,,,0.4117647058823528,,0.0577142857142857,0.0274887732185564,,,,218.0,31.142857142857142,,,2,12,0.0,0.0342857142857142,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-05,AUG | Colony (Battle-Scarred),0.032,0.032,52.0,0.048,0.12,,-0.3333333333333333,-0.7333333333333334,0.0451428571428571,0.011740389035031,,,,264.0,37.71428571428572,,,3,12,0.0,0.0352857142857142,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,
2013-12-05,AUG | Colony (Battle-Scarred),0.032,0.032,52.0,0.048,0.12,,-0.3333333333333333,-0.7333333333333334,0.0451428571428571,0.011740389035031,,,,264.0,37.71428571428572,,,3,12,0.0,0.0352857142857142,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-06,AUG | Colony (Battle-Scarred),0.043,0.043,41.0,0.032,0.067,,0.3437499999999998,-0.3582089552238806,0.0417142857142857,0.0076478621796138,,,,281.0,40.142857142857146,,,4,12,0.0,0.0358571428571428,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,
2013-12-06,AUG | Colony (Battle-Scarred),0.043,0.043,41.0,0.032,0.067,,0.3437499999999998,-0.3582089552238806,0.0417142857142857,0.0076478621796138,,,,281.0,40.142857142857146,,,4,12,0.0,0.0358571428571428,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-07,AUG | Colony (Battle-Scarred),0.037,0.037,49.0,0.043,0.055,,-0.1395348837209302,-0.3272727272727272,0.0391428571428571,0.0054623012269443,0.0515999999999999,0.0249447389242701,,302.0,43.142857142857146,360.0,36.0,5,12,0.0,0.0361428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,
2013-12-07,AUG | Colony (Battle-Scarred),0.037,0.037,49.0,0.043,0.055,,-0.1395348837209302,-0.3272727272727272,0.0391428571428571,0.0054623012269443,0.0515999999999999,0.0249447389242701,,302.0,43.142857142857146,360.0,36.0,5,12,0.0,0.0361428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
