date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir,idx_lp_valve_tier1_t0,idx_lp_valve_tier1_t7,idx_lp_valve_tier1_pm7,idx_lp_valve_tier1_pm30,idx_lp_s_tier_t0,idx_lp_s_tier_t7,idx_lp_s_tier_pm7,idx_lp_s_tier_pm30,idx_lp_a_tier_t0,idx_lp_a_tier_t7,idx_lp_a_tier_pm7,idx_lp_a_tier_pm30,lp_valve_tier1,lp_valve_tier1_cnt,lp_s_tier,lp_s_tier_cnt,lp_a_tier,lp_a_tier_cnt,lp_event_score,lp_event_intensity,lp_valve_tier1_cnt_norm,lp_s_tier_cnt_norm,lp_a_tier_cnt_norm,lp_event_score_norm,lp_event_intensity_norm
2015-02-01,AK-47 | Cartel (Factory New),11.216,11.216,177.0,11.644,13.896,,-0.0367571281346617,-0.1928612550374209,11.86,0.5652824831128997,18.169416666666667,8.005156197292814,0.0812009919989156,1060.0,151.42857142857142,2770.0,115.41666666666669,6,2,0.0,10.156428571428572,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2015-02-01,AK-47 | Cartel (Factory New),11.216,11.216,177.0,11.644,13.896,,-0.0367571281346617,-0.1928612550374209,11.86,0.5652824831128997,18.169416666666667,8.005156197292814,0.0812009919989156,1060.0,151.42857142857142,2770.0,115.41666666666669,6,2,0.0,10.156428571428572,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-02,AK-47 | Cartel (Factory New),11.129,11.129,145.0,11.216,12.441,,-0.0077567760342367,-0.1054577606301745,11.672571428571429,0.5590430234255824,17.8878,7.963831705906398,0.0800429572762407,1063.0,151.85714285714286,2915.0,116.6,0,2,0.0,10.315571428571428,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2015-02-02,AK-47 | Cartel (Factory New),11.129,11.129,145.0,11.216,12.441,,-0.0077567760342367,-0.1054577606301745,11.672571428571429,0.5590430234255824,17.8878,7.963831705906398,0.0800429572762407,1063.0,151.85714285714286,2915.0,116.6,0,2,0.0,10.315571428571428,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,AK-47 | Cartel (Factory New),11.047,11.047,134.0,11.129,12.648,,-0.0073681372989485,-0.1265812776723591,11.443857142857144,0.4245015324123202,17.624692307692307,7.919212430583617,0.0789283010363365,1090.0,155.71428571428572,3049.0,117.26923076923076,1,2,0.0,10.500428571428571,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2015-02-03,AK-47 | Cartel (Factory New),11.047,11.047,134.0,11.129,12.648,,-0.0073681372989485,-0.1265812776723591,11.443857142857144,0.4245015324123202,17.624692307692307,7.919212430583617,0.0789283010363365,1090.0,155.71428571428572,3049.0,117.26923076923076,1,2,0.0,10.500428571428571,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,AK-47 | Cartel (Factory New),10.664,10.664,153.0,11.047,12.356,,-0.0346700461663801,-0.1369375202330851,11.202142857142858,0.2996671623038889,17.36688888888889,7.881574411872068,0.0774587256156228,1128.0,161.14285714285714,3202.0,118.5925925925926,2,2,0.0,10.705285714285717,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2015-02-04,AK-47 | Cartel (Factory New),10.664,10.664,153.0,11.047,12.356,,-0.0346700461663801,-0.1369375202330851,11.202142857142858,0.2996671623038889,17.36688888888889,7.881574411872068,0.0774587256156228,1128.0,161.14285714285714,3202.0,118.5925925925926,2,2,0.0,10.705285714285717,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05,AK-47 | Cartel (Factory New),10.735,10.735,160.0,10.664,11.539,,0.0066579144786196,-0.0696767484184072,11.087285714285716,0.3026094674591633,17.130035714285714,7.836795028591284,0.0767682928661874,1145.0,163.57142857142858,3362.0,120.07142857142856,3,2,0.0,10.877571428571429,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2015-02-05,AK-47 | Cartel (Factory New),10.735,10.735,160.0,10.664,11.539,,0.0066579144786196,-0.0696767484184072,11.087285714285716,0.3026094674591633,17.130035714285714,7.836795028591284,0.0767682928661874,1145.0,163.57142857142858,3362.0,120.07142857142856,3,2,0.0,10.877571428571429,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,AK-47 | Cartel (Factory New),10.814,10.814,163.0,10.735,11.176,,0.0073591057289241,-0.0323908375089477,11.035571428571428,0.3137564374492042,16.912241379310345,7.786253774331259,0.0760867146930188,1127.0,161.0,3525.0,121.55172413793105,4,2,0.0,11.03557142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
