date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir,idx_lp_valve_tier1_t0,idx_lp_valve_tier1_t7,idx_lp_valve_tier1_pm7,idx_lp_valve_tier1_pm30,idx_lp_s_tier_t0,idx_lp_s_tier_t7,idx_lp_s_tier_pm7,idx_lp_s_tier_pm30,idx_lp_a_tier_t0,idx_lp_a_tier_t7,idx_lp_a_tier_pm7,idx_lp_a_tier_pm30,lp_valve_tier1,lp_valve_tier1_cnt,lp_s_tier,lp_s_tier_cnt,lp_a_tier,lp_a_tier_cnt,lp_event_score,lp_event_intensity,lp_valve_tier1_cnt_norm,lp_s_tier_cnt_norm,lp_a_tier_cnt_norm,lp_event_score_norm,lp_event_intensity_norm
2015-05-01,AK-47 | Cartel (Factory New),5.48,5.48,297.0,5.279,5.23,7.764,0.0380753930668689,0.0478011472275334,5.222428571428572,0.1225011453507473,6.489599999999999,1.2670997224633376,0.0402636107263249,1998.0,285.42857142857144,8109.0,270.3,4,5,0.0,4.982285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
2015-05-01,AK-47 | Cartel (Factory New),5.48,5.48,297.0,5.279,5.23,7.764,0.0380753930668689,0.0478011472275334,5.222428571428572,0.1225011453507473,6.489599999999999,1.2670997224633376,0.0402636107263249,1998.0,285.42857142857144,8109.0,270.3,4,5,0.0,4.982285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,,,,,,,,,,,,,1.0,5.0,1.0,4.0,1.0,2.0,45.0,45.0,1.0,1.0,1.0,1.0,1.0
2015-05-02,AK-47 | Cartel (Factory New),5.072,5.072,352.0,5.48,5.165,7.467,-0.0744525547445256,-0.0180058083252662,5.209142857142858,0.1326331445016975,6.409766666666664,1.278401728287665,0.0415912776891357,2009.0,287.0,8217.0,273.9,5,5,0.0,5.055142857142856,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
2015-05-02,AK-47 | Cartel (Factory New),5.072,5.072,352.0,5.48,5.165,7.467,-0.0744525547445256,-0.0180058083252662,5.209142857142858,0.1326331445016975,6.409766666666664,1.278401728287665,0.0415912776891357,2009.0,287.0,8217.0,273.9,5,5,0.0,5.055142857142856,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,,,,,,,,,,,,,1.0,5.0,1.0,4.0,1.0,2.0,45.0,45.0,1.0,1.0,1.0,1.0,1.0
2015-05-03,AK-47 | Cartel (Factory New),5.072,5.072,303.0,5.072,5.158,7.848,0.0,-0.0166731291198138,5.196857142857143,0.1405483430521111,6.317233333333332,1.271397674040485,0.0399949778876519,2000.0,285.7142857142857,8287.0,276.2333333333333,6,5,0.0,5.125714285714285,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
2015-05-03,AK-47 | Cartel (Factory New),5.072,5.072,303.0,5.072,5.158,7.848,0.0,-0.0166731291198138,5.196857142857143,0.1405483430521111,6.317233333333332,1.271397674040485,0.0399949778876519,2000.0,285.7142857142857,8287.0,276.2333333333333,6,5,0.0,5.125714285714285,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,,,,,,,,,,,,,1.0,5.0,1.0,4.0,1.0,2.0,45.0,45.0,1.0,1.0,1.0,1.0,1.0
2015-05-04,AK-47 | Cartel (Factory New),4.879,4.879,303.0,5.072,5.064,7.966,-0.0380520504731862,-0.0365323854660348,5.170428571428571,0.1759747198912855,6.214333333333331,1.2586499734062506,0.0398619717340327,2021.0,288.7142857142857,8319.0,277.3,0,5,0.0,5.170428571428571,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,
2015-05-04,AK-47 | Cartel (Factory New),4.879,4.879,303.0,5.072,5.064,7.966,-0.0380520504731862,-0.0365323854660348,5.170428571428571,0.1759747198912855,6.214333333333331,1.2586499734062506,0.0398619717340327,2021.0,288.7142857142857,8319.0,277.3,0,5,0.0,5.170428571428571,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-05,AK-47 | Cartel (Factory New),4.858,4.858,264.0,4.879,5.171,7.641,-0.0043041606886656,-0.0605298781666989,5.125714285714285,0.2071526106078143,6.1215666666666655,1.25262504853696,0.039624284339667,2031.0,290.1428571428572,8318.0,277.26666666666665,1,5,0.0,5.196857142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,
2015-05-05,AK-47 | Cartel (Factory New),4.858,4.858,264.0,4.879,5.171,7.641,-0.0043041606886656,-0.0605298781666989,5.125714285714285,0.2071526106078143,6.1215666666666655,1.25262504853696,0.039624284339667,2031.0,290.1428571428572,8318.0,277.26666666666665,1,5,0.0,5.196857142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-06,AK-47 | Cartel (Factory New),4.746,4.746,256.0,4.858,5.24,7.83,-0.0230547550432275,-0.0942748091603052,5.055142857142856,0.2380410700286994,6.018766666666666,1.2346185560280911,0.0389833306415423,2055.0,293.57142857142856,8299.0,276.6333333333333,2,5,0.0,5.209142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,
